op,size,cpu_time_2withoutBubbleUp,stat,cpu_time_3withBubbleUp,cpu_time_4withBubbleUp
PushRandom,1048576.0,1758910000.0,mean,3700.03,1670490000.0
PushRandom,1048576.0,1750680000.0,median,3764.61,1667030000.0
PushRandom,1048576.0,78834400.0,stddev,3816.28,18855400.0
PushRandom,1048576.0,0.04482,cv,8525.18,0.0112874
PushRandom,1048576.0,1847850000.0,p90,8642.96,1691760000.0
PushRandom,1048576.0,1890260000.0,p95,9150.32,1703020000.0
PushRandom,1048576.0,1924190000.0,p99,8515.74,1712030000.0
PushSortedAsc,256.0,1307.36,mean,8423.88,1369.87
PushSortedAsc,256.0,1306.62,median,8275.63,1371.62
PushSortedAsc,256.0,9.48085,stddev,8272.6,27.6973
PushSortedAsc,256.0,0.00725189,cv,8382.01,0.0202189
PushSortedAsc,256.0,1317.46,p90,8297.45,1391.65
PushSortedAsc,256.0,1320.03,p95,8833.67,1397.95
PushSortedAsc,256.0,1322.08,p99,8531.94,1402.99
PushSortedAsc,512.0,2029.47,mean,8469.81,2176.45
PushSortedAsc,512.0,2029.78,median,280.508,2162.7
PushSortedAsc,512.0,24.0787,stddev,0.0328773,73.7368
PushSortedAsc,512.0,0.0118645,cv,8865.33,0.0338794
PushSortedAsc,512.0,2047.31,p90,9007.82,2261.44
PushSortedAsc,512.0,2065.48,p95,9121.82,2300.78
PushSortedAsc,512.0,2080.02,p99,27208.8,2332.25
PushSortedAsc,1024.0,3483.84,mean,28341.7,3781.66
PushSortedAsc,1024.0,3475.13,median,29425.7,3808.6
PushSortedAsc,1024.0,63.8928,stddev,27526.1,132.51
PushSortedAsc,1024.0,0.0183398,cv,27336.1,0.0350402
PushSortedAsc,1024.0,3558.83,p90,27872.9,3908.35
PushSortedAsc,1024.0,3587.46,p95,28444.3,3935.61
PushSortedAsc,1024.0,3610.36,p99,28249.4,3957.41
PushSortedAsc,2048.0,7058.61,mean,28461.3,6748.15
PushSortedAsc,2048.0,7019.68,median,27310.0,6711.69
PushSortedAsc,2048.0,162.356,stddev,28017.6,122.126
PushSortedAsc,2048.0,0.0230011,cv,28061.2,0.0180977
PushSortedAsc,2048.0,7197.88,p90,699.391,6871.82
PushSortedAsc,2048.0,7319.31,p95,0.0249625,6951.57
PushSortedAsc,2048.0,7416.46,p99,28557.7,7015.38
PushSortedAsc,4096.0,13580.6,mean,28991.7,12476.2
PushSortedAsc,4096.0,13600.3,median,29338.9,12421.7
PushSortedAsc,4096.0,285.485,stddev,76331.2,230.017
PushSortedAsc,4096.0,0.0210216,cv,76653.4,0.0184365
PushSortedAsc,4096.0,13842.4,p90,81994.7,12617.6
PushSortedAsc,4096.0,13920.5,p95,77447.3,12844.1
