op,size,cpu_time2withoutBubbleUp,stat,cpu_time_3withBubbleUp
PushSortedAsc,8192.0,233455.0,p95,186796.0
PushSortedAsc,8192.0,233543.0,p99,187554.0
PushSortedAsc,16384.0,524431.0,mean,472771.0
PushSortedAsc,16384.0,519227.0,median,471268.0
PushSortedAsc,16384.0,16961.3,stddev,8072.77
PushSortedAsc,16384.0,0.0323423,cv,0.0170754
PushSortedAsc,16384.0,543790.0,p90,480256.0
PushSortedAsc,16384.0,547388.0,p95,486010.0
PushSortedAsc,16384.0,550267.0,p99,490614.0
PushSortedAsc,32768.0,1187570.0,mean,1104070.0
PushSortedAsc,32768.0,1187120.0,median,1098510.0
PushSortedAsc,32768.0,20811.4,stddev,19570.7
PushSortedAsc,32768.0,0.0175244,cv,0.0177259
PushSortedAsc,32768.0,1201060.0,p90,1124230.0
PushSortedAsc,32768.0,1219560.0,p95,1137700.0
PushSortedAsc,32768.0,1234370.0,p99,1148480.0
PushSortedAsc,65536.0,2886990.0,mean,2528560.0
PushSortedAsc,65536.0,2887110.0,median,2514570.0
PushSortedAsc,65536.0,53138.9,stddev,38017.8
PushSortedAsc,65536.0,0.0184063,cv,0.0150354
PushSortedAsc,65536.0,2947270.0,p90,2588280.0
PushSortedAsc,65536.0,2949240.0,p95,2599310.0
PushSortedAsc,65536.0,2950820.0,p99,2608140.0
PushSortedAsc,131072.0,6472180.0,mean,5898040.0
PushSortedAsc,131072.0,6472750.0,median,5859990.0
PushSortedAsc,131072.0,85750.2,stddev,98992.0
PushSortedAsc,131072.0,0.0132491,cv,0.0167839
PushSortedAsc,131072.0,6550370.0,p90,6013330.0
PushSortedAsc,131072.0,6585120.0,p95,6076780.0
PushSortedAsc,131072.0,6612920.0,p99,6127530.0
PushSortedAsc,262144.0,14281200.0,mean,13352600.0
PushSortedAsc,262144.0,14294200.0,median,13265000.0
PushSortedAsc,262144.0,57399.8,stddev,252560.0
PushSortedAsc,262144.0,0.00401926,cv,0.0189147
