op,size,cpu_time2withoutBubbleUp,stat,cpu_time_3withBubbleUp,cpu_time_4withBubbleUp
PushSortedAsc,65536.0,4193520.0,mean,486134.0,4308950.0
PushSortedAsc,65536.0,4192860.0,median,484085.0,4342220.0
PushSortedAsc,65536.0,21005.3,stddev,483573.0,76872.8
PushSortedAsc,65536.0,0.00500898,cv,5400.18,0.0178402
PushSortedAsc,65536.0,4218910.0,p90,0.0111554,4385870.0
PushSortedAsc,65536.0,4219290.0,p95,487553.0,4394000.0
PushSortedAsc,65536.0,4219600.0,p99,492321.0,4400500.0
PushSortedAsc,131072.0,8848430.0,mean,496136.0,9053220.0
PushSortedAsc,131072.0,8908080.0,median,1108650.0,9043370.0
PushSortedAsc,131072.0,152614.0,stddev,1113980.0,72381.5
PushSortedAsc,131072.0,0.0172476,cv,1115360.0,0.00799511
PushSortedAsc,131072.0,8980810.0,p90,1103280.0,9129760.0
PushSortedAsc,131072.0,8996960.0,p95,1098340.0,9169830.0
PushSortedAsc,131072.0,9009870.0,p99,1135980.0,9201890.0
PushSortedAsc,262144.0,18634300.0,mean,1141880.0,18929800.0
PushSortedAsc,262144.0,18590400.0,median,1151590.0,18929000.0
PushSortedAsc,262144.0,170294.0,stddev,1158740.0,114093.0
PushSortedAsc,262144.0,0.00913872,cv,1147370.0,0.00602714
PushSortedAsc,262144.0,18826500.0,p90,1127520.0,19078700.0
PushSortedAsc,262144.0,18871100.0,p95,1125670.0,19082400.0
PushSortedAsc,262144.0,18906800.0,p99,21990.4,19085400.0
PushSortedAsc,524288.0,38018600.0,mean,0.0195034,39513900.0
PushSortedAsc,524288.0,38054600.0,median,1152300.0,39274000.0
PushSortedAsc,524288.0,239047.0,stddev,1155520.0,866886.0
PushSortedAsc,524288.0,0.00628762,cv,1158100.0,0.0219388
PushSortedAsc,524288.0,38198200.0,p90,2546920.0,40692500.0
PushSortedAsc,524288.0,38287900.0,p95,2598610.0,40968500.0
PushSortedAsc,524288.0,38359700.0,p99,2596190.0,41189400.0
PushSortedAsc,1048576.0,77388500.0,mean,2564330.0,80028100.0
PushSortedAsc,1048576.0,77323600.0,median,2591110.0,79977100.0
PushSortedAsc,1048576.0,552656.0,stddev,2561560.0,779022.0
PushSortedAsc,1048576.0,0.00714132,cv,2560400.0,0.00973436
PushSortedAsc,1048576.0,78223800.0,p90,2576560.0,80881800.0
PushSortedAsc,1048576.0,78294000.0,p95,2610580.0,81126600.0
PushSortedAsc,1048576.0,78350200.0,p99,2607710.0,81322500.0
